subj,sex,age,pilot,phase,phase_onset,phase_offset,prompt,prompt_onset,prompt_offset,response_onset,response_offset,response
060817_02,f,5,n,2,106522,744056,orange,111452,148104,141678,147831,47
060817_02,f,5,n,2,106522,744056,orange,111452,148104,141678,147831,33
060817_02,f,5,n,2,106522,744056,orange,111452,148104,141678,147831,64
060817_02,f,5,n,2,106522,744056,black,165280,188122,185388,188122,4
060817_02,f,5,n,2,106522,744056,purple,200430,259828,245956,259828,30
060817_02,f,5,n,2,106522,744056,purple,200430,259828,245956,259828,61
060817_02,f,5,n,2,106522,744056,purple,200430,259828,245956,259828,26
060817_02,f,5,n,2,106522,744056,purple,200430,259828,245956,259828,34
060817_02,f,5,n,2,106522,744056,purple,200430,259828,245956,259828,38
060817_02,f,5,n,2,106522,744056,purple,200430,259828,245956,259828,28
060817_02,f,5,n,2,106522,744056,purple,200430,259828,245956,259828,43
060817_02,f,5,n,2,106522,744056,gray,270700,305116,300070,305116,22
060817_02,f,5,n,2,106522,744056,gray,270700,305116,300070,305116,54
060817_02,f,5,n,2,106522,744056,gray,270700,305116,300070,305116,49
060817_02,f,5,n,2,106522,744056,red,311684,352750,345004,352750,46
060817_02,f,5,n,2,106522,744056,red,311684,352750,345004,352750,41
060817_02,f,5,n,2,106522,744056,red,311684,352750,345004,352750,58
060817_02,f,5,n,2,106522,744056,red,311684,352750,345004,352750,60
060817_02,f,5,n,2,106522,744056,green,369396,416466,406456,416466,2
060817_02,f,5,n,2,106522,744056,green,369396,416466,406456,416466,23
060817_02,f,5,n,2,106522,744056,green,369396,416466,406456,416466,21
060817_02,f,5,n,2,106522,744056,green,369396,416466,406456,416466,18
060817_02,f,5,n,2,106522,744056,green,369396,416466,406456,416466,32
060817_02,f,5,n,2,106522,744056,green,369396,416466,406456,416466,63
060817_02,f,5,n,2,106522,744056,blue,442020,502996,485132,502996,50
060817_02,f,5,n,2,106522,744056,blue,442020,502996,485132,502996,35
060817_02,f,5,n,2,106522,744056,blue,442020,502996,485132,502996,25
060817_02,f,5,n,2,106522,744056,blue,442020,502996,485132,502996,44
060817_02,f,5,n,2,106522,744056,blue,442020,502996,485132,502996,56
060817_02,f,5,n,2,106522,744056,blue,442020,502996,485132,502996,5
060817_02,f,5,n,2,106522,744056,blue,442020,502996,485132,502996,6
060817_02,f,5,n,2,106522,744056,blue,442020,502996,485132,502996,16
060817_02,f,5,n,2,106522,744056,blue,442020,502996,485132,502996,7
060817_02,f,5,n,2,106522,744056,blue,442020,502996,485132,502996,14
060817_02,f,5,n,2,106522,744056,white,529930,546550,543700,546550,59
060817_02,f,5,n,2,106522,744056,brown,577388,624376,611170,624376,55
060817_02,f,5,n,2,106522,744056,brown,577388,624376,611170,624376,11
060817_02,f,5,n,2,106522,744056,brown,577388,624376,611170,624376,48
060817_02,f,5,n,2,106522,744056,brown,577388,624376,611170,624376,40
060817_02,f,5,n,2,106522,744056,brown,577388,624376,611170,624376,29
060817_02,f,5,n,2,106522,744056,brown,577388,624376,611170,624376,52
060817_02,f,5,n,2,106522,744056,brown,577388,624376,611170,624376,9
060817_02,f,5,n,2,106522,744056,yellow,646374,676634,669820,676634,62
060817_02,f,5,n,2,106522,744056,yellow,646374,676634,669820,676634,24
060817_02,f,5,n,2,106522,744056,yellow,646374,676634,669820,676634,17
060817_02,f,5,n,2,106522,744056,yellow,646374,676634,669820,676634,20
060817_02,f,5,n,2,106522,744056,pink,691016,742934,731088,742934,34
060817_02,f,5,n,2,106522,744056,pink,691016,742934,731088,742934,28
060817_02,f,5,n,2,106522,744056,pink,691016,742934,731088,742934,31
060817_02,f,5,n,2,106522,744056,pink,691016,742934,731088,742934,30
060817_02,f,5,n,2,106522,744056,pink,691016,742934,731088,742934,26
060817_02,f,5,n,2,106522,744056,pink,691016,742934,731088,742934,53
060817_02,f,5,n,2,106522,744056,pink,691016,742934,731088,742934,13
060817_02,f,5,n,2,106522,744056,pink,691016,742934,731088,742934,45
062117_03,m,4.1,n,1,53890,114484,pink,58452,70787,69768,69768,nr
062117_03,m,4.1,n,1,53890,114484,black,70788,75377,73542,73542,black
062117_03,m,4.1,n,1,53890,114484,white,75378,78675,78608,78608,white
062117_03,m,4.1,n,1,53890,114484,purple,78676,83333,81464,81464,purple
062117_03,m,4.1,n,1,53890,114484,green,83334,86665,86564,86564,green
062117_03,m,4.1,n,1,53890,114484,orange,86666,93329,90032,90032,orange
062117_03,m,4.1,n,1,53890,114484,red,93330,97205,96050,96050,red
062117_03,m,4.1,n,1,53890,114484,yellow,97206,101047,100504,100504,yellow
062117_03,m,4.1,n,1,53890,114484,gray,101048,104753,103258,103258,gray
062117_03,m,4.1,n,1,53890,114484,blue,104754,108697,107338,107338,blue
062117_03,m,4.1,n,1,53890,114484,brown,108698,113084,110738,110738,brown
062117_03,m,4.1,n,2,191868,1026015,orange,195642,228242,224202,228242,64
062117_03,m,4.1,n,2,191868,1026015,orange,195642,228242,224202,228242,33
062117_03,m,4.1,n,2,191868,1026015,white,250090,262888,262888,262888,59
062117_03,m,4.1,n,2,191868,1026015,green,265560,325074,311460,325074,63
062117_03,m,4.1,n,2,191868,1026015,green,265560,325074,311460,325074,32
062117_03,m,4.1,n,2,191868,1026015,green,265560,325074,311460,325074,18
062117_03,m,4.1,n,2,191868,1026015,green,265560,325074,311460,325074,23
062117_03,m,4.1,n,2,191868,1026015,green,265560,325074,311460,325074,44
062117_03,m,4.1,n,2,191868,1026015,green,265560,325074,311460,325074,21
062117_03,m,4.1,n,2,191868,1026015,brown,348418,374714,370028,374714,9
062117_03,m,4.1,n,2,191868,1026015,brown,348418,374714,370028,374714,40
062117_03,m,4.1,n,2,191868,1026015,red,382880,426496,395304,398752,41
062117_03,m,4.1,n,2,191868,1026015,red,382880,426496,400064,402832,58
062117_03,m,4.1,n,2,191868,1026015,red,382880,426496,411352,412794,42
062117_03,m,4.1,n,2,191868,1026015,red,382880,426496,412984,415038,60
062117_03,m,4.1,n,2,191868,1026015,red,382880,426496,420206,422042,46
062117_03,m,4.1,n,2,191868,1026015,purple,458802,493884,469084,470424,30
062117_03,m,4.1,n,2,191868,1026015,purple,458802,493884,473300,475286,28
062117_03,m,4.1,n,2,191868,1026015,purple,458802,493884,478740,481474,43
062117_03,m,4.1,n,2,191868,1026015,purple,458802,493884,485098,486744,15
062117_03,m,4.1,n,2,191868,1026015,black,540022,561102,558810,560728,4
062117_03,m,4.1,n,2,191868,1026015,yellow,564468,628422,616766,628422,20
062117_03,m,4.1,n,2,191868,1026015,yellow,564468,628422,616766,628422,51
062117_03,m,4.1,n,2,191868,1026015,yellow,564468,628422,616766,628422,62
062117_03,m,4.1,n,2,191868,1026015,yellow,564468,628422,616766,628422,24
062117_03,m,4.1,n,2,191868,1026015,yellow,564468,628422,616766,628422,17
062117_03,m,4.1,n,2,191868,1026015,pink,636194,681394,649080,650692,31
062117_03,m,4.1,n,2,191868,1026015,pink,636194,681394,652446,654228,13
062117_03,m,4.1,n,2,191868,1026015,pink,636194,681394,656050,658274,53
062117_03,m,4.1,n,2,191868,1026015,pink,636194,681394,663006,665380,45
062117_03,m,4.1,n,2,191868,1026015,pink,636194,681394,672962,673982,30
062117_03,m,4.1,n,2,191868,1026015,pink,636194,681394,674022,675716,26
062117_03,m,4.1,n,2,191868,1026015,blue,717814,820046,727940,730150,39
062117_03,m,4.1,n,2,191868,1026015,blue,717814,820046,730612,732360,37
062117_03,m,4.1,n,2,191868,1026015,blue,717814,820046,736780,738456,45
062117_03,m,4.1,n,2,191868,1026015,blue,717814,820046,738466,739908,44
062117_03,m,4.1,n,2,191868,1026015,blue,717814,820046,742688,745552,5
062117_03,m,4.1,n,2,191868,1026015,blue,717814,820046,742688,745552, 35
062117_03,m,4.1,n,2,191868,1026015,blue,717814,820046,753678,755582,16
062117_03,m,4.1,n,2,191868,1026015,blue,717814,820046,762640,763776,14
062117_03,m,4.1,n,2,191868,1026015,blue,717814,820046,766958,768332,50
062117_03,m,4.1,n,2,191868,1026015,blue,717814,820046,769440,770236,56
062117_03,m,4.1,n,2,191868,1026015,blue,717814,820046,776716,778498,7
062117_03,m,4.1,n,2,191868,1026015,blue,717814,820046,783278,785502,25
062117_03,m,4.1,n,2,191868,1026015,blue,717814,820046,792852,794648,6
062117_03,m,4.1,n,2,191868,1026015,blue,717814,820046,799632,800836,12
062117_03,m,4.1,n,2,191868,1026015,blue,717814,820046,812770,814028,47
062117_03,m,4.1,n,2,191868,1026015,gray,861696,920754,870746,873426,55
062117_03,m,4.1,n,2,191868,1026015,gray,861696,920754,874262,875568,42
062117_03,m,4.1,n,2,191868,1026015,gray,861696,920754,876030,877540,29
062117_03,m,4.1,n,2,191868,1026015,gray,861696,920754,890208,891752,1
062117_03,m,4.1,n,2,191868,1026015,gray,861696,920754,892146,894064,38
062117_03,m,4.1,n,2,191868,1026015,gray,861696,920754,895750,896988,15
062117_03,m,4.1,n,2,191868,1026015,gray,861696,920754,903352,905488,3
062117_03,m,4.1,n,2,191868,1026015,gray,861696,920754,903352,905488,9
062117_03,m,4.1,n,2,191868,1026015,gray,861696,920754,909180,911064,40
062117_03,m,4.1,n,2,191868,1026015,gray,861696,920754,914532,915994,52
062117_06,M,5,n,1,42058,102088,red,47144,52767,51680,51680,red
062117_06,M,5,n,1,42058,102088,green,52768,57357,55862,55862,green
062117_06,M,5,n,1,42058,102088,gray,57358,61947,60724,60724,silver
062117_06,M,5,n,1,42058,102088,blue,61948,66537,65280,65280,blue
062117_06,M,5,n,1,42058,102088,white,66538,71127,69598,69598,white
062117_06,M,5,n,1,42058,102088,purple,71128,77281,75004,75004,black
062117_06,M,5,n,1,42058,102088,pink,77282,81939,80648,80648,pink
062117_06,M,5,n,1,42058,102088,black,81940,86631,84728,84728,black
062117_06,M,5,n,1,42058,102088,brown,86632,89827,88808,88808,brown
062117_06,M,5,n,1,42058,102088,orange,89828,94077,92140,92140,orange
062117_06,M,5,n,1,42058,102088,yellow,94078,98906,97172,97172,yellow
062117_06,M,5,n,2,208868,1074540,gray,212656,233172,223856,223856,49
062117_06,M,5,n,2,208868,1074540,gray,212656,233172,224746,226916,22
062117_06,M,5,n,2,208868,1074540,green,244698,295154,272238,280228,2
062117_06,M,5,n,2,208868,1074540,green,244698,295154,272238,280228,23
062117_06,M,5,n,2,208868,1074540,green,244698,295154,272238,280228,63
062117_06,M,5,n,2,208868,1074540,green,244698,295154,272238,280228,32
062117_06,M,5,n,2,208868,1074540,green,244698,295154,272238,280228,21
062117_06,M,5,n,2,208868,1074540,green,244698,295154,272238,280228,18
062117_06,M,5,n,2,208868,1074540,green,244698,295154,288524,294780,51
062117_06,M,5,n,2,208868,1074540,green,244698,295154,288524,294780,24
062117_06,M,5,n,2,208868,1074540,pink,335842,370736,343896,345644,13
062117_06,M,5,n,2,208868,1074540,pink,335842,370736,346616,349656,26
062117_06,M,5,n,2,208868,1074540,pink,335842,370736,351288,353328,53
062117_06,M,5,n,2,208868,1074540,pink,335842,370736,353348,355300,31
062117_06,M,5,n,2,208868,1074540,pink,335842,370736,357462,360196,45
062117_06,M,5,n,2,208868,1074540,red,476360,561986,536404,561986,8
062117_06,M,5,n,2,208868,1074540,red,476360,561986,536404,561986,43
062117_06,M,5,n,2,208868,1074540,red,476360,561986,536404,561986,42
062117_06,M,5,n,2,208868,1074540,red,476360,561986,536404,561986,58
062117_06,M,5,n,2,208868,1074540,red,476360,561986,536404,561986,60
062117_06,M,5,n,2,208868,1074540,red,476360,561986,536404,561986,46
062117_06,M,5,n,2,208868,1074540,red,476360,561986,536404,561986,41
062117_06,M,5,n,2,208868,1074540,blue,592994,658308,602602,603806,26
062117_06,M,5,n,2,208868,1074540,blue,592994,658308,605880,607410,56
062117_06,M,5,n,2,208868,1074540,blue,592994,658308,609144,610164,50
062117_06,M,5,n,2,208868,1074540,blue,592994,658308,612034,612918,16
062117_06,M,5,n,2,208868,1074540,blue,592994,658308,617814,618834,35
062117_06,M,5,n,2,208868,1074540,blue,592994,658308,621996,623730,44
062117_06,M,5,n,2,208868,1074540,blue,592994,658308,625212,626484,28
062117_06,M,5,n,2,208868,1074540,blue,592994,658308,625212,626484,5
062117_06,M,5,n,2,208868,1074540,blue,592994,658308,630142,631108,25
062117_06,M,5,n,2,208868,1074540,blue,592994,658308,634780,636650,12
062117_06,M,5,n,2,208868,1074540,blue,592994,658308,639832,640730,7
062117_06,M,5,n,2,208868,1074540,blue,592994,658308,647564,655044,39
062117_06,M,5,n,2,208868,1074540,blue,592994,658308,647564,655044,47
062117_06,M,5,n,2,208868,1074540,blue,592994,658308,647564,655044,37
062117_06,M,5,n,2,208868,1074540,white,709688,723316,719324,720426,59
062117_06,M,5,n,2,208868,1074540,brown,733182,765068,745164,747184,52
062117_06,M,5,n,2,208868,1074540,brown,733182,765068,747850,749224,9
062117_06,M,5,n,2,208868,1074540,brown,733182,765068,750584,751536,40
062117_06,M,5,n,2,208868,1074540,brown,733182,765068,753542,755208,11
062117_06,M,5,n,2,208868,1074540,brown,733182,765068,757010,758336,29
062117_06,M,5,n,2,208868,1074540,brown,733182,765068,761042,762654,15
062117_06,M,5,n,2,208868,1074540,black,789718,804168,789718,789718,4
062117_06,M,5,n,2,208868,1074540,yellow,822514,845410,834870,835788,62
062117_06,M,5,n,2,208868,1074540,yellow,822514,845410,836284,837794,17
062117_06,M,5,n,2,208868,1074540,purple,873534,939658,885278,886754,28
062117_06,M,5,n,2,208868,1074540,purple,873534,939658,887250,889236,61
062117_06,M,5,n,2,208868,1074540,purple,873534,939658,890412,891888,34
062117_06,M,5,n,2,208868,1074540,purple,873534,939658,895682,896716,30
062117_06,M,5,n,2,208868,1074540,purple,873534,939658,907752,908786,28
062117_06,M,5,n,2,208868,1074540,purple,873534,939658,918938,920686,57
062117_06,M,5,n,2,208868,1074540,orange,964308,993888,970414,972298,27
062117_06,M,5,n,2,208868,1074540,orange,964308,993888,978860,980560,33
062117_06,M,5,n,2,208868,1074540,orange,964308,993888,978860,980560,64
062117_06,M,5,n,2,208868,1074540,orange,964308,993888,983538,987496,42
062117_06,M,5,n,2,208868,1074540,orange,964308,993888,983538,987496,10
062117_06,M,5,n,2,208868,1074540,orange,964308,993888,987720,989332,29
